 -3.40546982019289018e-18  1.86797459322235655e-21  1.52539682864971014e-24
 -3.99395802380053154e-26  7.09390420466732430e-30  3.85952064023872285e-31
B0531+21   19-Apr-15  213000.00   57131.89583333330            56.778638  0.826 -7.665
    192410667.021595   29.668855443614   jb  300   12   327.000                
  1.71305484909293621e-08 -2.90793072521425222e-01 -4.09202361282306949e-07
  4.87516362150230758e-09  5.61077699319597754e-13 -4.63827165859977350e-15
 -2.65839852517707492e-19  2.62886358377832324e-22 -3.47180439984924547e-24
  5.39539020816023009e-26  5.17820184299330298e-29 -5.20785443340334279e-31
B0531+21   20-Apr-15   23000.00   57132.10416666660            56.778648  0.818 -7.980
    192944619.269799   29.668855443614   jb  300   12   327.000                
  1.02559841555729839e-09 -2.89844917865430651e-01  3.08603702118786228e-06
  1.74461145958881444e-09 -5.01021903338323264e-12 -1.70165133689079951e-15
  3.35710890327808553e-18  3.31852306100685125e-21 -7.60262121744455661e-24
 -8.54333442840614393e-26  9.24441114852628215e-29  1.09533083164679914e-30
B0531+21   20-Apr-15   63000.00   57132.27083333330            56.778656  0.808 -7.668
    193371781.410051   29.668855443614   jb  300   12   327.000                
  1.69409417786553295e-08 -2.88350918356864272e-01  2.54636087235263573e-06
 -3.10267871885586732e-09 -4.14479826167116268e-12  3.01068030090755744e-15
  2.74265301299621868e-18 -4.32903260718639212e-21 -4.75979615294444804e-24
  9.68088925609654183e-26  5.37639600734876684e-29 -1.09956729643348364e-30
B0531+21   20-Apr-15  113000.00   57132.47916666660            56.778666  0.803 -7.986
    193905734.423319   29.668855443614   jb  300   12   327.000                
 -4.50934082636038694e-10 -2.87957601884718195e-01 -1.44384299878490876e-06
 -4.45223450802581691e-09  2.22584573313854746e-12  4.24224863694580678e-15
 -1.33119865455445502e-18 -5.39104668629644637e-22 -3.19162733324773139e-24
 -3.89017564666124853e-26  4.97315929059720088e-29  4.28457531647155080e-31
B0531+21   20-Apr-15  163000.00   57132.68749999990            56.778676  0.811 -7.972
    194439687.210757   29.668855443614   jb  300   12   327.000                
 -7.95437201500502232e-09 -2.89642358869982353e-01 -3.35535848359591854e-06
  8.33921637355977573e-10  5.28273907330498054e-12 -8.25189597017185845e-16
 -3.57978825208729049e-18  2.08571229503266015e-21  1.01282162735497013e-23
 -3.87113817480623128e-26 -1.34744104727614545e-28  2.50739042827651789e-31
B0531+21   20-Apr-15  213000.00   57132.89583333330            56.778686  0.816 -7.666
    194973639.475273   29.668855443614   jb  300   12   327.000                
  1.43985925682432736e-08 -2.90937695478628466e-01 -3.36814510125162999e-07
  4.88301197590091289e-09  4.69451910275672435e-13 -4.62173645204201209e-15
 -2.18618487505274837e-19 -1.68399133823753950e-21 -3.10379733098532361e-24
  1.23864916692027246e-25  4.70287252965667677e-29 -1.44379306822987108e-30
B0531+21   21-Apr-15   23000.00   57133.10416666660            56.778696  0.808 -7.979
    195507591.686100   29.668855443614   jb  300   12   327.000                
  2.67125193694294871e-09 -2.89953341673775677e-01  3.12084633064831772e-06
  1.66541470816259325e-09 -5.04142357098499595e-12 -1.61991976314409896e-15
  3.28986081676704578e-18  2.76874179012653929e-21 -3.52228747399411078e-24
 -6.70870514511663469e-26  2.42605933544736637e-29  8.54671214522276951e-31
B0531+21   21-Apr-15   63000.00   57133.27083333330            56.778704  0.798 -7.669
    195934753.801198   29.668855443614   jb  300   12   327.000                
  1.41288277576185229e-08 -2.88456779151909315e-01  2.52397624337270318e-06
 -3.16751207197438238e-09 -4.08498220491639632e-12  3.07044442821170108e-15
  2.62694937432896501e-18 -4.29182408905448094e-21 -1.49736046359734806e-24
  9.90345035268161496e-26  7.04651947509046520e-30 -1.19891347803684007e-30
B0531+21   21-Apr-15  113000.00   57133.47916666660            56.778713  0.793 -7.985
    196468706.779538   29.668855443614   jb  300   12   327.000                
  2.52532838771318813e-09 -2.88086182398791801e-01 -1.48168548088460245e-06
 -4.41675174640193330e-09  2.30948689329504270e-12  4.21973906620211396e-15
 -1.39201951476797294e-18 -1.59694421817016736e-21 -3.07925527318534229e-24
  4.60909001241185116e-27  5.17230592802443959e-29 -2.15800215343295432e-31
B0531+21   21-Apr-15  163000.00   57133.68749999990            56.778723  0.801 -7.979
    197002659.526515   29.668855443614   jb  300   12   327.000                
 -1.10593867023534107e-08 -2.89777082369225891e-01 -3.33069172459574811e-06
  9.16803324237386318e-10  5.26618341036156851e-12 -9.24566973697013304e-16
 -3.55381298985418037e-18  3.92910605017589273e-21  9.46531631125353448e-24
 -1.11082783111540475e-25 -1.24916460629484877e-28  1.31161287947470976e-30
B0531+21   21-Apr-15  213000.00   57133.89583333330            56.778733  0.806 -7.667
    197536611.754758   29.668855443614   jb  300   12   327.000                
  1.43107657563360435e-08 -2.91039926819393724e-01 -2.64955253345065550e-07
  4.88954065270312972e-09  3.77746250995440970e-13 -4.62657756881877386e-15
