  5.19075510956709451e-09 -2.90889982521862656e-01 -5.82593340179081953e-07
  5.64188901151829185e-09  8.17482801739148416e-13 -5.35305107026129074e-15
 -3.36317825645044173e-19 -1.16391762424256708e-21 -8.12618524505551500e-24
  1.25417796877138014e-25  1.32061557500181079e-28 -1.57650415670051146e-30
B0531+21   19-Apr-15   73000.00   57131.31249999990            56.778611  0.827 -7.980
    190915599.215310   29.668855443614  aro  300   12   327.000                
  7.46898712457544313e-10 -2.89841416433105292e-01  3.54104037752839979e-06
  2.16769771335741341e-09 -5.75412105774196173e-12 -2.08138162406967465e-15
  3.70555170124562176e-18  8.04199147839083335e-22 -2.15877901517825786e-24
  3.61557694834373224e-26  2.74229071567125769e-30 -8.57495469756230547e-31
B0531+21   19-Apr-15  113000.00   57131.47916666660            56.778618  0.815 -7.670
    191342761.385764   29.668855443614  aro  300   12   327.000                
  9.24423006624431644e-09 -2.88101355357114397e-01  3.01836590568938663e-06
 -3.48304470017763481e-09 -4.91723390875443236e-12  3.37234910857289602e-15
  3.26551664033967210e-18 -4.13982707362553180e-21 -6.74404157185568416e-24
  7.93481244090507674e-26  9.32553988359858407e-29 -8.06480418549249390e-31
B0531+21   19-Apr-15  163000.00   57131.68749999990            56.778628  0.810 -7.983
    191876714.501055   29.668855443614  aro  300   12   327.000                
  6.14909989951696102e-09 -2.87590104619384668e-01 -1.58440852250900796e-06
 -5.23186624458671965e-09  2.43171589921076157e-12  5.00549886028636123e-15
 -1.52030097910688835e-18 -2.67307783871418934e-21 -1.08432023235880975e-24
  4.15688088817972446e-26  2.54560424959981615e-29 -8.51006773994374488e-31
B0531+21   19-Apr-15  213000.00   57131.89583333320            56.778638  0.819 -7.977
    192410667.368354   29.668855443614  aro  300   12   327.000                
 -7.43595104172039157e-10 -2.89520811852626514e-01 -3.91690593120203361e-06
  8.16301727901737073e-10  6.15804417129743524e-12 -8.07370904290396026e-16
 -3.96971199645513649e-18  2.37531309382819352e-21  3.05363276796741469e-24
 -6.30586930445617012e-26 -2.37879165672982130e-29  7.58045694201936500e-31
B0531+21   20-Apr-15   23000.00   57132.10416666660            56.778648  0.825 -7.663
    192944619.625065   29.668855443614  aro  300   12   327.000                
  5.08094457054495519e-09 -2.91070303799803753e-01 -5.00646494440495580e-07
  5.65377713037329268e-09  7.10203009574737626e-13 -5.36131390926771031e-15
 -1.55154131921864690e-19 -1.30100716210834532e-21 -1.34821446667816968e-23
  1.26532279537578219e-25  2.22309451605632639e-28 -1.54360070738069975e-30
B0531+21   20-Apr-15   73000.00   57132.31249999990            56.778658  0.817 -7.989
    193478571.802310   29.668855443614  aro  300   12   327.000                
  4.62175882108692079e-09 -2.89980320132193103e-01  3.58126393657020052e-06
  2.07675897600013111e-09 -5.79384759520088774e-12 -2.00155313549399750e-15
