  3.78278731641449936e-18  1.22192135634179450e-21 -3.15712348518741910e-24
 -1.98434544741718572e-26  1.95567030787919048e-29  3.44542451152909915e-31
B0531+21   14-Jul-15   60000.00   57217.25000000000             0.000277 -0.456 -8.510
     74955988.094286   29.664667017462  aro  300   12   610.000                
 -8.58074154109621668e-10  2.50573790335859269e-02  3.24343376817407060e-06
 -3.64746019487113010e-09 -4.77540980095286040e-12  3.49727333905969705e-15
  2.99060081476141903e-18 -2.42157178232033089e-21  1.43305218070757688e-24
  3.73226797059130839e-26 -3.96912427187267051e-29 -5.87212434502333008e-31
B0531+21   14-Jul-15  110000.00   57217.45833333330             0.000275 -0.461 -8.582
     75489959.782766   29.664667017462  aro  300   12   610.000                
  2.50368794090188949e-10  2.56789269286141625e-02 -1.40442288194008179e-06
 -5.15434003965395931e-09  2.63621230352353076e-12  4.91413194424491465e-15
 -1.73053193202238895e-18 -1.61781366222952397e-22  3.06945070597398524e-24
 -9.75169961222874092e-26 -4.50398270287931389e-29  1.60791941939205840e-30
B0531+21   14-Jul-15  160000.00   57217.66666666660             0.000273 -0.453 -8.508
     76023931.258772   29.664667017462  aro  300   12   610.000                
 -5.03238110443110964e-09  2.38943290839605561e-02 -3.59154334352960400e-06
  1.01224457520767964e-09  6.12241375301927518e-12 -9.68302616795849837e-16
 -3.94192025709009801e-18  2.34654637601855674e-22  3.02820439935432907e-24
  8.05419606533397141e-27 -2.80026595368885738e-29 -1.19622261873662274e-31
B0531+21   14-Jul-15  210000.00   57217.87500000000             0.000270 -0.448 -8.488
     76557902.182211   29.664667017462  aro  300   12   610.000                
  1.50982066694098471e-09  2.25821024807453426e-02 -6.31898007234019385e-08
  5.66858125949664375e-09  4.91232898353919846e-13 -5.43386859709702297e-15
 -3.46993720963390634e-19  2.91573895467315050e-21  1.12429048964189793e-24
 -1.41863431293470425e-26 -9.23228449852217069e-30  1.47759261170994931e-31
B0531+21   15-Jul-15   20000.00   57218.08333333330             0.000268 -0.458 -8.305
     77091873.101528   29.664667017462  aro  300   12   610.000                
 -1.99335664730700309e-09  2.39157484603183985e-02  3.92336474040294881e-06
  1.87984901730095190e-09 -5.87347072943241664e-12 -1.79042364289506681e-15
  3.94383510732523761e-18 -3.98525830351328667e-22 -8.91158846172833980e-24
  5.34807918833480165e-26  9.96081625509728450e-29 -8.09937978480540980e-31
B0531+21   15-Jul-15   60000.00   57218.25000000000             0.000267 -0.470 -8.429
     77519050.278242   29.664667017462  aro  300   12   610.000                
  1.31371227615992054e-09  2.57877679419797751e-02  3.19179383371052094e-06
 -3.72206012321333652e-09 -4.70627943632593475e-12  3.55279531051386609e-15
  2.96989019505719460e-18 -1.24668937613908645e-21  1.29902399182161534e-25
 -3.87076087458531199e-27 -1.48153471901267739e-29 -6.17941107941434816e-32
B0531+21   15-Jul-15  110000.00   57218.45833333330             0.000265 -0.476 -8.499
     78053022.179870   29.664667017462  aro  300   12   610.000                
  1.76960952099800787e-09  2.63677613725279772e-02 -1.47325406361367162e-06
 -5.11216706118249839e-09  2.73238603531406251e-12  4.85877818690309851e-15
 -1.77172753309159335e-18  1.13715572507048794e-21  2.97732114397181822e-24
 -1.48508955159615539e-25 -5.44908710503984246e-29  2.36930357551917325e-30
B0531+21   15-Jul-15  160000.00   57218.66666666660             0.000263 -0.468 -8.537
     78586993.858112   29.664667017462  aro  300   12   610.000                
 -2.15533818845989778e-09  2.45612490648658907e-02 -3.58742878042792989e-06
  1.10822868898329428e-09  6.10201187064256928e-12 -1.05561947885758059e-15
 -3.87040610575830059e-18 -1.19962386393327406e-22 -3.89145059693034220e-27
  2.26733618713180954e-26  2.37463573134543800e-29 -3.17038561689924199e-31
B0531+21   15-Jul-15  210000.00   57218.87500000000             0.000261 -0.463 -8.398
     79120964.984222   29.664667017462  aro  300   12   610.000                
  4.12280335387837455e-09  2.32719142930764775e-02 -4.78258732161959253e-09
  5.67536899637905793e-09  3.84092995917572566e-13 -5.44486783763449887e-15
 -2.33322337690886272e-19  3.29704135362761631e-21 -9.97543815008598533e-25
 -2.82218497471031820e-26  2.36441478991692552e-29  3.40681350116543057e-31
B0531+21   16-Jul-15   20000.00   57219.08333333330             0.000259 -0.473 -8.485
     79654936.115090   29.664667017462  aro  300   12   610.000                
  2.24539702000013078e-09  2.46316035522859064e-02  3.93639515249102871e-06
  1.78722353776966238e-09 -5.90638033161338241e-12 -1.72324600065822700e-15
  3.78063562689982846e-18  1.80366067741487615e-21 -8.70260693770919513e-25
 -4.56216679803932406e-26 -1.93685157833794787e-29  7.43579392807585658e-31
B0531+21   16-Jul-15   53000.00   57219.22916666660             0.000257 -0.484 -8.508
     80028716.270354   29.664667017462  aro  300   12   610.000                
 -1.23790357674393283e-09  2.62954083459022679e-02  3.45442597828744901e-06
 -3.20839069991405401e-09 -5.13896326220484759e-12  3.08245029548623076e-15
  3.25453350745504343e-18 -2.56086034094362237e-21 -3.74858533987081109e-25
  4.18845829050657287e-26 -6.14249363385834007e-30 -5.18781278679769871e-31
B0531+21   16-Jul-15  103000.00   57219.43749999990             0.000255 -0.491 -8.442
     80562688.357328   29.664667017462  aro  300   12   610.000                
 -8.09336334103720782e-10  2.71100416500544353e-02 -1.07193676886807074e-06
 -5.36358843111700807e-09  2.07823187716216287e-12  5.14868390909661618e-15
 -1.30292586054292415e-18 -3.68052885994269589e-21 -4.30362262646802940e-25
  4.93716844399085747e-26  9.78856475475686388e-30 -6.59655220712384329e-31
B0531+21   16-Jul-15  153000.00   57219.64583333320             0.000253 -0.483 -8.607
     81096660.283149   29.664667017462  aro  300   12   610.000                
  1.90029720031106549e-10  2.54209041182950554e-02 -3.65790520734848894e-06
  4.65924879311270401e-10  6.20001934980679688e-12 -4.28945709897732202e-16
 -3.89698351867029740e-18 -1.22381556681094069e-21 -7.95541075301349143e-25
  4.67328932309339076e-26  2.80830438379598218e-29 -5.56883662955307726e-31
B0531+21   16-Jul-15  203000.00   57219.85416666660             0.000251 -0.477 -8.450
