  8.59885655227144969e-27 -3.58238881472461980e-30 -1.29067834258614494e-31
1932+1059  11-Jun-14  123000.00   56819.52083333330             3.180053 -0.488 -9.017
   3927366579.755080    4.414667316440   hn  300   12   327.000                
 -6.42884589369512320e-10  1.17110999517049258e-02 -1.92389055579879527e-07
  9.34428625061877064e-10  1.43023369301180175e-13 -8.94600067098699131e-16
 -1.21740382586033495e-19  3.91239754010438702e-22  1.42798869804727012e-24
  1.32863271691209432e-27 -2.27425011855400349e-29 -3.22305482167767928e-32
1932+1059  11-Jun-14  173000.00   56819.72916666660             3.180053 -0.492 -9.196
   3927446047.287013    4.414667316440   hn  300   12   327.000                
 -8.25392905751231573e-10  1.18278894956089387e-02  4.93651352444427451e-07
  3.64575625336068436e-10 -9.51930162382489923e-13 -3.46187680356422281e-16
  5.97280129476634709e-19 -3.94251879819354082e-23  2.26412988941065036e-25
  5.64583647760682820e-27 -6.37875368128873163e-30 -5.78332506045008013e-32
1932+1059  11-Jun-14  213000.00   56819.89583333330             3.180053 -0.501 -9.021
   3927509621.365235    4.414667316440   hn  300   12   327.000                
 -9.30999773430621369e-10  1.20724441719564715e-02  4.10600343759282939e-07
 -5.73716584822729040e-10 -8.19550583749563014e-13  5.44197825458004008e-16
  4.93605444319010211e-19  1.63137000292618177e-22  1.19358965021239708e-24
 -1.60534094455460674e-26 -2.27454086785541427e-29  2.32907245593599691e-31
1932+1059  12-Jun-14   23000.00   56820.10416666660             3.180053 -0.502 -9.170
   3927589089.015124    4.414667316440   hn  300   12   327.000                
 -7.84802316869294691e-10  1.21036694263816982e-02 -3.52495807904609214e-07
 -8.71369528074616496e-10  3.97117767346949364e-13  8.37045634472416493e-16
 -2.47363097173756755e-19 -6.17792596642406358e-22 -3.02699768648360824e-25
  8.05726865210800346e-27  7.85274355617574479e-30 -1.00329100776183497e-31
1932+1059  12-Jun-14   73000.00   56820.31249999990             3.180053 -0.488 -9.195
   3927668556.607640    4.414667316440   hn  300   12   327.000                
 -2.06077723651094111e-10  1.17281399797379282e-02 -7.44821732873178000e-07
  1.28348459559456599e-10  1.02259770364677940e-12 -1.21270546673219213e-16
